type,year,pub_date,title,author,journal,number,doi
journal,2020,20-Apr,"Convergence of Evidence Supports a Chuska Mountains Origin for the Plaza Tree of Pueblo Bonito, Chaco Canyon","CH Guiterman, CH Baisan, NB English, J Quade, JS Dean, and TW Swetnam",American Antiquity,"85 (2), 331-346",10.1017/aaq.2020.6
journal,2019,19-Nov,Spatiotemporal variability of human-fire interactions on the Navajo Nation,"CH Guiterman, EQ Margolis, CH Baisan, DA Falk, CD Allen, and TW Swetnam",Ecosphere,"10 (11), e02932",10.1002/ecs2.2932
journal,2018,17-Oct,Long-term persistence and fire resilience of oak shrubfields in dry conifer forests of northern New Mexico,"CH Guiterman, EQ Margolis, CD Allen, DA Falk, and TW Swetnam",Ecosystems,"21 (5), 943-959",10.1007/s10021-017-0192-2
journal,2018,18-Sep,Sampling bias overestimates climate change impacts on forest growth in the southwestern United States,"S Klesse, RJ DeRose, CH Guiterman, AM Lynch, CD O'Connor, JD Shaw, and MEK Evans",Nature Communications,"9 (1), 1-9",10.1038/s41467-018-07800-y
journal,2018,18-Mar,burnr: Fire history analysis and graphics in R,"SB Malevich, CH Guiterman, and EQ Margolis",Dendrochronologia,"49, 9-15",10.1016/j.dendro.2018.02.005
journal,2018,18-Apr,Dendroecology meets genomics in the common garden: new insights into climate adaptation,"MEK Evans, PF Gugger, AM Lynch, CH Guiterman, JC Fowler, S Klesse, and E Riordin",New Phytologist,"218 (2), 401-403",10.1111/nph.15094
journal,2016,16-Feb,Eleventh-century shift in timber procurement areas for the great houses of Chaco Canyon,"CH Guiterman, TW Swetnam, JS Dean",Proceedings of the National Academy of Sciences,"113 (5), 1186-1190",10.1073/pnas.1514272112
journal,2016,16-May,A new digital field data collection system for dendrochronology,"PW Brewer, CH Guiterman",Dendrochronologia,"38, 131-135",10.1016/j.dendro.2016.04.005
thesis,2016,16-Dec,Climate and human drivers of forest vulnerability in the US Southwest: Perspectives from dendroecology,C Guiterman,The University of Arizona,,
journal,2016,16-Oct,Revisiting human-environment interactions in Chaco Canyon and the American Southwest,JL Betancourt and CH Guiterman,Past Global Changes,"24 (2), 64-65",10.22498/pages.24.2.64
journal,2015,15-Oct,Dendroecological methods for reconstructing high-severity fire in pine-oak forests,"CH Guiterman, EQ Margolis, and TW Swetnam",Tree-Ring Research,"71 (2), 67-77",10.3959/1536-1098-71.2.67
journal,2015,15-May,"Dendrochronological evaluation of ship timber from Charlestown Navy Yard (Boston, MA)","PP Creasman, C Baisan, and C Guiterman",Dendrochronologia,"33, 8-15",10.1016/j.dendro.2014.10.001
report,2015,15-May,Climatic sensitivities of Navajo forestlands: use-inspired research to guide tribal forest management,CH Guiterman,"Report for Climate & Society Fellowship, Climte Assessment of the Southwest",,
journal,2013,13-Feb,Signal strength in sub-annual tree-ring chronologies from Pinus ponderosa in northern New Mexico,"R Brice, K Lorion, D Griffin, A Macalady, C Guiterman, J Speer, L Benakoun, A Cutter, M Hart, M Murray, S Nash, R Shepard, A Stewart, and H Wang",Tree-Ring Research,"69 (2), 81-86",10.3959/1536-1098-69.2.81
journal,2012,12-Nov,Long-Term Thinning Effects on the Leaf Area of Pinus strobus L. as Estimated from Litterfall and Individual-Tree Allometric Models,"CH Guiterman, RS Seymour, and AR Weiskittel",Forest Science,"58 (1), 85-93",10.5849/forsci.10-002
journal,2011,11-Oct,Influences of conventional and low-density thinning on the lower bole taper and volume growth of eastern white pine,"CH Guiterman, AR Weiskittel, and RS Seymour",Northern Journal of Applied Forestry,"28 (3), 123-128",10.1093/njaf/28.3.123
thesis,2009,9-Nov,"The influences of conventional and low density thinning on leaf area, growth, and growing space relationships of eastern white pine (Pinus strobus L.)",CH Guiterman,,,
thesis,2004,4-May,"Strain Variations of a Hinge-Parallel Lineation, Presidential Range, New Hampshire",CH Guiterman,,,
report,2019,19-Dec,Vulnerabilities of Navajo Nation Forests to Climate Change,CH Guiterman and EQ Margolis,Final Report to the Bureau of Indian Affairs and Navajo Nation,https://chguiterman.github.io/Nav_report/,
report,2019,19-Nov,The origins of great house construction timbers at Chaco Canyon,CH Guiterman and CH Baisan,Archaeology Southwest Magazine ,https://www.archaeologysouthwest.org/product/asw32-3/,
report,2017,17-Jun,"Bedrock Geology of Mt. Washington, Presidential Range, NH","J Eusden, B Anderson, C Castro, P Gardner, C Guiterman, S Higgins, K Kugel, A Reid, C Rodda, and C Tamposi","in Johnson, B and Eusden, JD, ed., Guidebook for field trips in Western Maine and Northern New Hampshire: New England Intercollegiate Geological Conference, Bates College, p. 177-196",,
report,2015,15-Jun,"Dendroecological analyses of fire-origin shrublands in former conifer forests of the Jemez Mountains, New Mexico","CH Guiterman, EQ Margolis, and TW Swetnam","Final report to NPS Bandelier National Monument (DS CESU project UAZDS-402). Laboratory of Tree-Ring Research, University of Arizona, Tucson, AZ. 40 p",,
report,2014,14-Jun,"Dendrochronological sourcing of timbers from the Great Houses of Chaco Canyon, New Mexico","CH Guiterman, TW Swetnam, JS Dean, and PP Creasman","Final report to Chaco Culture National Historical Park and Western National Parks Association (WNPA Grant 13-02). Laboratory of Tree-Ring Research, University of Arizona, Tucson, AZ. 25 p",,
journal,2020,20-May,Continental-scale tree-ring based projection of Douglas-fir growth -- Testing the limits of space-for-time substitution,"S Klesse, RJ DeRose, F Babst, B Black, L Anderegg, J Axelson, A Ettinger, H Griesbauer, C Guiterman, G Harley, J Harvey, YH Lo, A Lynch, C O'Connor, C Restaino, D Sauchyn, J Shaw, D Smith, J Villanueva-Diaz, L Wood, and M Evans",Global Change Biology,"26(9), 5146-5163",10.1111/gcb.15170
journal,2020,21-May,"A history of recurrent, low-severity fire without fire exclusion in southeastern pine savannas, USA","MT Rother, JM Huffman, CH Guiterman, KM Robertson, N Jones",Forest Ecology and Management,118406,10.1016/j.foreco.2020.118406
